Chiral indice n,Chiral indice m,Initial atomic coordinate u,Initial atomic coordinate v,Initial atomic coordinate w,Calculated atomic coordinates u,Calculated atomic coordinates v,Calculated atomic coordinates w,x,y,z
4,1,0,798626,0,65477,0,39988,812277,658326,40916
4,1,0,794352,0,691116,0,111416,807185,697932,111388
4,1,0,212784,0,427407,0,63797,198483,426673,63134
4,1,0,560308,0,783502,0,16178,565293,801366,16747
4,1,0,516033,0,766319,0,87607,518262,783893,87303
4,1,0,681264,0,79623,0,135226,690505,811887,135963
4,1,0,643856,0,798626,0,206655,653283,815991,206572
4,1,0,723194,0,439692,0,16178,733703,431654,15953
4,1,0,356144,0,201374,0,39988,347059,184129,39263
4,1,0,233681,0,249714,0,87607,220388,238728,87568
4,1,0,256813,0,228213,0,159036,243065,215492,158191
4,1,0,308884,0,603235,0,111416,298531,612095,111617
4,1,0,276806,0,560308,0,182845,265631,568083,182279
4,1,0,427407,0,714623,0,230464,424498,730007,230823
4,1,0,385034,0,681264,0,301893,38078,69492,301449
4,1,0,766319,0,750286,0,254274,779609,761253,255146
4,1,0,743187,0,771787,0,325702,756305,783672,325794
4,1,0,798626,0,65477,0,373321,812277,658325,374249
4,1,0,794352,0,691116,0,44475,807184,697932,444721
4,1,0,572593,0,285377,0,63797,575221,270349,64318
4,1,0,614966,0,318736,0,135226,619361,306347,134796
4,1,0,439692,0,216498,0,182845,434731,199076,183122
4,1,0,483967,0,233681,0,254274,48176,214825,253602
4,1,0,201374,0,34523,0,206655,18762,340879,20662
4,1,0,205648,0,308884,0,278083,194081,302779,277111
4,1,0,228213,0,471401,0,325702,216119,472308,325774
4,1,0,212784,0,427407,0,397131,198483,426673,396467
4,1,0,560308,0,783502,0,349512,565293,801366,350081
4,1,0,516033,0,766319,0,42094,518261,783893,420636
4,1,0,681264,0,79623,0,468559,690505,811887,469296
4,1,0,643856,0,798626,0,539988,653282,815991,539906
4,1,0,771787,0,528599,0,159036,784977,528527,159828
4,1,0,787216,0,572593,0,230464,80108,573294,230421
4,1,0,691116,0,396765,0,278083,70063,387602,278662
4,1,0,723194,0,439692,0,349512,733703,431653,349287
4,1,0,318736,0,20377,0,301893,309563,187916,301969
4,1,0,356144,0,201374,0,373321,347059,184129,372596
4,1,0,233681,0,249714,0,42094,220388,238728,420901
4,1,0,256813,0,228213,0,492369,243066,215492,491525
4,1,0,308884,0,603235,0,44475,298531,612095,444951
4,1,0,276806,0,560308,0,516178,265631,568083,515612
4,1,0,427407,0,714623,0,563797,424498,730007,564156
4,1,0,385034,0,681264,0,635226,38078,69492,634783
4,1,0,766319,0,750286,0,587607,779608,761253,588479
4,1,0,743187,0,771787,0,659036,756305,783671,659127
4,1,0,798626,0,65477,0,706655,812277,658326,707583
4,1,0,794352,0,691116,0,778083,807185,697932,778054
4,1,0,572593,0,285377,0,397131,575221,270348,397652
4,1,0,614966,0,318736,0,468559,619361,306346,468129
4,1,0,439692,0,216498,0,516178,434732,199076,516456
4,1,0,483967,0,233681,0,587607,48176,214825,586935
4,1,0,201374,0,34523,0,539988,18762,340879,539953
4,1,0,205648,0,308884,0,611416,194081,30278,610445
4,1,0,228213,0,471401,0,659036,216119,472308,659108
4,1,0,212784,0,427407,0,730464,198483,426673,7298
4,1,0,560308,0,783502,0,682845,565293,801366,683414
4,1,0,516033,0,766319,0,754274,518261,783893,75397
4,1,0,681264,0,79623,0,801893,690505,811887,80263
4,1,0,643856,0,798626,0,873321,653282,81599,873239
4,1,0,771787,0,528599,0,492369,784977,528527,493161
4,1,0,787216,0,572593,0,563797,80108,573293,563754
4,1,0,691116,0,396765,0,611416,70063,387602,611996
4,1,0,723194,0,439692,0,682845,733703,431653,68262
4,1,0,318736,0,20377,0,635226,309563,187917,635302
4,1,0,356144,0,201374,0,706655,347059,184129,705929
4,1,0,233681,0,249714,0,754274,220388,238728,754234
4,1,0,256813,0,228213,0,825702,243066,215492,824858
4,1,0,308884,0,603235,0,778083,298531,612095,778284
4,1,0,276806,0,560308,0,849512,265631,568083,848945
4,1,0,427407,0,714623,0,897131,424498,730006,89749
4,1,0,385034,0,681264,0,968559,38078,694919,968116
4,1,0,766319,0,750286,0,92094,779609,761253,921812
4,1,0,743187,0,771787,0,992369,756305,783672,99246
4,1,0,572593,0,285377,0,730464,575221,270349,730985
4,1,0,614966,0,318736,0,801893,619361,306347,801462
4,1,0,439692,0,216498,0,849512,434732,199076,849789
4,1,0,483967,0,233681,0,92094,48176,214825,920268
4,1,0,201374,0,34523,0,873321,18762,340879,873286
4,1,0,205648,0,308884,0,94475,194081,302779,943778
4,1,0,228213,0,471401,0,992369,216119,472308,992441
4,1,0,771787,0,528599,0,825702,784977,528527,826495
4,1,0,787216,0,572593,0,897131,80108,573293,897087
4,1,0,691116,0,396765,0,94475,700631,387602,945329
4,1,0,318736,0,20377,0,968559,309563,187917,968636
